"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.01G057100",52.356,47.184,33.97,26.934,20.177,31.045,18.92,15.569,2.513,0.127
"Glyma.01G058000",42.271,24.025,13.443,10.88,4.619,8.122,3.732,2.971,1.651,0.644
"Glyma.01G063000",59.095,28.403,15.758,7.457,3.938,5.383,4.89,3.687,2.827,0.39
"Glyma.01G079500",20.179,14.095,12.978,10.043,7.65,9.605,6.199,3.969,1.844,0.435
"Glyma.01G081300",169.961,132.5,64.872,50.117,26.787,45.702,24.299,13.846,8.921,0.596
"Glyma.01G087500",0.02,0,0,0.005,0.016,0.003,0,0.003,0.007,0.947
"Glyma.01G089300",0.96,2.382,3.165,3.46,1.852,2.218,1.619,1.097,1.588,9.382
"Glyma.01G090200",12.781,4.679,0.915,0.665,0.025,0.091,0.063,0.023,0.016,0.003
"Glyma.01G095500",78.75,44.437,16.477,15.345,3.131,6.5,2.254,0.537,0.041,0
"Glyma.01G096000",1.873,2.181,2.071,1.483,1.987,1.184,1.489,4.373,7.038,286.248
"Glyma.01G106200",11.707,13.447,11.294,11.149,18.049,10.098,14.731,23.759,15.246,7.312
"Glyma.01G107500",4.978,3.495,2.772,2.317,1.738,1.982,1.7,1.03,0.616,0.355
"Glyma.01G109500",8.898,12.206,14.205,10.243,14.444,14.2,22.253,35.687,69.144,298.007
"Glyma.01G117800",15.425,10.609,9.234,5.471,2.929,3.816,2.969,1.97,3.873,2.933
"Glyma.01G120400",5.066,2.136,1.148,1.121,0.455,1.13,0.628,0.43,0.201,0.079
"Glyma.01G123100",0.009,0.072,0.588,5.791,23.619,10.028,29.201,40.869,123.254,361.93
"Glyma.01G131300",17.51,9.071,4.168,3.717,2.371,4.928,2.033,2.122,0.722,0.019
"Glyma.01G131500",47.841,15.706,5.285,1.691,0.31,0.654,0.292,0.346,0.415,0.964
"Glyma.01G132500",4.545,2.374,1.596,2.273,1.627,5.756,1.838,1.99,0.922,0.573
"Glyma.01G133000",3.764,2.791,1.804,1.796,1.501,1.521,1.403,0.637,0.352,0.24
"Glyma.01G139600",18.302,15.988,12.241,10.295,9.613,9.747,10.493,7.672,10.885,6.335
"Glyma.01G144900",11.771,11.187,8.614,8.415,4.796,7.685,4.142,2.54,1.758,0.98
"Glyma.01G148800",4.176,2.131,1.742,1.334,1.013,1.016,1.181,1.368,4.513,17.68
"Glyma.01G151700",9.549,5.17,3.829,3.401,1.291,1.88,1.259,0.674,0.162,0.003
"Glyma.01G153000",0.161,0.251,0.418,0.886,6.277,1.274,9.904,23.629,53.551,72.075
"Glyma.01G153100",1.983,1.586,1.268,0.663,0.462,0.639,0.508,0.349,0.674,0.734
"Glyma.01G153300",0.78,1.802,2.097,1.978,4.029,3.764,4.55,6.95,7.672,14.435
"Glyma.01G155300",25.482,18.98,14.315,15.817,10.095,14.185,9.832,7.42,6.189,0.563
"Glyma.01G156000",6.445,5.683,4.803,7.077,7.856,7.777,9.375,8.134,9.686,8.783
"Glyma.01G157600",21.369,14.774,7.132,5.531,1.974,3.802,2.711,2.506,1.286,0.62
"Glyma.01G157700",0.004,0,0,0,0,0,0,0,0,0.008
"Glyma.01G159200",10.179,9.229,7.979,9.689,4.219,5.656,4.667,2.222,1.304,0.311
"Glyma.01G159800",33.613,17.55,10.516,9.049,2.306,7.403,3.474,3.573,1.653,0.216
"Glyma.01G161500",0.031,0.054,0.085,0.363,2.514,0.599,3.605,10.013,64.916,465.932
"Glyma.01G163000",0.549,0.379,0.171,0.12,0.028,0.053,0.029,0.04,0.101,1.861
"Glyma.01G164300",37.348,26.248,16.761,10.156,6.093,7.288,6.006,3.574,5.875,1.223
"Glyma.01G164500",20.915,18.135,11.207,11.133,4.988,7.612,4.47,2.347,0.721,0.22
"Glyma.01G164900",5.033,3.81,1.362,0.987,0.543,1.056,0.46,0.284,0.198,0.075
"Glyma.01G167500",14.84,8.627,5.544,3.729,2.718,2.826,3.308,2.387,2.197,0.554
"Glyma.01G170200",43.282,33.345,19.675,15.665,3.259,15.172,2.778,0.816,0.081,0
"Glyma.01G175600",40.22,41.581,32.57,20.862,13.476,20.049,13.193,12.647,10.568,3.993
"Glyma.01G177900",0,0,0.005,0.008,0.008,0.004,0.042,0.04,0.324,2.364
"Glyma.01G181500",18.056,12.311,8.27,6.341,5.082,5.558,4.165,3.264,2.796,0.921
"Glyma.01G183200",0.009,0.061,0.105,0.698,16.438,1.369,28.345,66.614,243.122,514.675
"Glyma.01G185800",1.078,1.62,0.902,1.093,1.722,0.785,1.504,1.455,6.914,31.767
"Glyma.01G187900",16.068,10.519,9.66,10.752,6.861,7.791,6.767,3.012,1.613,0.424
"Glyma.01G188600",0.412,0.214,0.125,0.238,1.174,0.635,1.878,2.187,3.281,13.949
"Glyma.01G190300",0.055,0.138,0.225,0.952,1.046,2.343,2.214,6.19,3.398,3.424
"Glyma.01G190700",9.236,8.263,7.598,7.14,9.429,8.865,9.051,6.359,4.529,0.97
"Glyma.01G193600",1.944,2.022,1.449,0.745,0.477,1.232,0.584,0.225,0.364,0.674
"Glyma.01G197800",104.92,65.247,26.953,28.573,16.649,19.213,13.99,7.919,4.438,0.717
