"Geneid","5-days-old","10-days-old","15-days-old","20-days-old","25-days-old","30-days-old","35-days-old","40-days-old","45-days-old","55-days-old"
"Glyma.03G168700",142.276,152.49,112.696,81.067,44.937,49.778,41.998,31.317,26.628,8.853
"Glyma.03G169500",9.439,5.912,4.139,4.107,1.942,3.573,1.682,0.847,0.538,0.214
"Glyma.03G169600",0.026,0.035,0.021,0.04,0.036,0.031,0.049,0.035,0.062,1.281
"Glyma.03G175000",7.835,4.95,2.942,1.789,1.06,1.867,1.108,0.858,0.148,0.002
"Glyma.03G176400",42.567,31.341,16.458,17.714,10.345,13.937,10.104,7.917,4.85,1.52
"Glyma.03G178100",27.786,14.586,9.849,7.933,2.022,5.193,1.83,0.733,0.18,0.002
"Glyma.03G179800",18.971,19.637,12.41,12.067,6.735,11.789,6.502,2.925,2.267,0.93
"Glyma.03G183500",0.146,0.067,0.266,0.228,0.412,0.276,1.585,1.365,6.492,17.34
"Glyma.03G186200",4.517,3.436,2.383,2.933,0.843,1.536,1.097,0.54,0.195,0.171
"Glyma.03G189300",111.305,71.224,45.767,36.086,25.759,34.239,26.365,24.343,8.943,7.726
"Glyma.03G190100",0.048,1.79,0.818,6.473,30.377,11.948,31.471,56.248,184.585,548.33
"Glyma.03G190200",1.44,1.507,1.644,2.1,2.303,2.469,1.946,1.415,0.797,0.082
"Glyma.03G190500",381.428,253.309,141.832,86.498,37.588,90.232,39.599,28.164,13.493,5.689
"Glyma.03G191500",52.612,28.633,18.783,11.012,5.3,8.381,5.669,4.352,3.419,0.641
"Glyma.03G191700",12.15,8.581,6.828,5.016,2.899,3.401,2.03,1.623,0.32,0.014
"Glyma.03G192100",25.938,14.779,9.411,9.393,6.162,8.231,5.393,3.037,1.965,1.63
"Glyma.03G199500",14.248,12.726,10.613,11.093,5.535,7.751,4.423,3.623,2.66,1.029
"Glyma.03G200100",1.529,0.62,0.157,0.104,0.024,0.029,0.036,0.101,0.83,4.27
"Glyma.03G205900",0.191,0.158,0.106,0.185,0.428,0.307,0.451,0.384,1.113,6.045
"Glyma.03G214800",0.081,0.144,0.179,0.246,0.48,0.118,0.509,0.373,2.445,27.292
"Glyma.03G214900",14.128,7.073,6.918,4.074,2.816,3.952,2.737,2.012,3.01,3.111
"Glyma.03G217000",6.265,3.191,1.374,0.995,0.096,0.785,0.049,0.016,0.008,0.004
"Glyma.03G218600",13.017,11.7,8.51,5.783,4.721,5.909,2.042,0.924,0.51,0.128
"Glyma.03G219300",34.947,25.72,17.794,16.567,10.065,13.375,10.435,8.892,5.935,2.583
"Glyma.03G226400",22.911,15.123,11.907,9.741,7.425,8.098,6.082,4.073,4.186,1.305
"Glyma.03G226800",0,0.007,0.01,0.008,0.015,0.015,0.18,0.431,1.183,9.065
"Glyma.03G227600",1.682,1.014,0.612,0.926,10.894,1.94,19.978,24.631,42.767,25.57
"Glyma.03G229200",16.877,12.864,8.53,9.336,5.379,7.374,5.446,3.678,3.108,0.715
"Glyma.03G236700",9.442,6.876,4.791,4.864,5.055,5.103,4.41,5.858,5.952,10.429
"Glyma.03G238800",0,0.005,0,0.012,0.008,0,0.004,0.01,0.065,1.06
"Glyma.03G239800",0.673,1.052,1.513,1.47,2.152,3.282,3.127,7.298,8.329,36.865
"Glyma.03G243500",6.411,3.222,2.077,1.998,2.14,2.362,2.282,1.907,2.475,1.995
"Glyma.03G245200",8.777,7.508,2.557,3.048,4.639,4.645,4.047,4.339,4.572,5.792
"Glyma.03G246900",11.499,9.953,8.007,9.052,6.002,8.937,5.361,3.514,1.3,0.014
"Glyma.03G247000",5.472,3.547,2.923,2.271,1.818,1.858,1.571,1.089,0.49,0.343
"Glyma.03G251500",12.395,7.73,7.171,8.136,3.53,5.814,4.946,2.968,2.766,1.657
"Glyma.03G252000",21.901,17.744,16.947,13.481,8.845,9.781,8.265,6.662,7.802,5.529
"Glyma.03G253500",3.493,3.545,4.397,5.138,2.979,4.875,3.078,2.464,1.424,1.685
"Glyma.03G253600",0.068,0.168,0.241,0.192,0.117,0.112,0.08,0.127,0.132,2.106
"Glyma.03G256500",11.098,15.095,8.048,6.874,6.462,5.784,5.746,7.311,6.722,9.427
"Glyma.03G257600",7.838,8.582,3.94,4.353,2.587,3.542,1.949,1.337,1.174,0.564
"Glyma.03G261000",12.424,8.257,5.665,3.856,2.16,3.026,2.391,1.705,1.433,0.437
"Glyma.03G262300",111.549,116.011,54.417,47.285,31.286,36.049,34.615,24.296,11.849,7.468
"Glyma.04G000300",17.311,10.626,8.927,5.473,3.481,5.073,3.522,2.32,2.348,0.52
"Glyma.04G001500",23.361,14.709,8.848,7.253,2.442,5.091,3.167,2.095,0.708,0.075
"Glyma.04G002400",26.021,20.03,15.021,10.847,6.822,11.266,6.814,3.58,2.941,0.559
"Glyma.04G002600",2.12,1.371,1.25,0.716,0.856,0.53,0.86,1.047,5.196,14.183
"Glyma.04G003700",24.004,24.539,20.436,9.466,6.727,7.683,8.988,6.69,8.666,7.033
"Glyma.04G004300",19.128,13.783,10.896,14.243,3.992,8.499,4.724,1.573,0.213,0.016
"Glyma.04G008100",14.95,11.742,7.888,7.022,4.665,5.502,6,5.519,6.291,5.068
"Glyma.04G009100",9.327,5.528,2.571,2.913,2.072,3.526,2.794,1.923,0.967,0.264
"Glyma.04G010500",55.909,43.059,28.59,16.677,8.961,16.994,8.457,7.808,7.946,2.038
"Glyma.04G012900",6.828,4.504,1.85,1.739,0.772,1.425,0.502,0.264,0.056,0.012
"Glyma.04G013000",12.859,8.247,3.181,2.346,1.331,1.476,0.965,0.329,0.085,0.005
"Glyma.04G013200",27.752,18.881,13.955,10.702,7.681,10.11,6.997,5.105,3.555,0.701
"Glyma.04G013700",1.314,1.191,1.299,2.022,1.901,1.839,2.81,1.98,1.977,1.934
"Glyma.04G013900",16.598,13.051,10.857,9.16,6.085,7.061,4.247,1.905,0.925,0.039
"Glyma.04G015300",69.901,57.253,42.369,28.769,17.831,24.663,15.13,11.155,8.362,2.035
"Glyma.04G017000",30.882,17.768,12.318,8.894,4.895,7.288,5.908,4.514,2.818,0.103
"Glyma.04G017500",10.252,6.773,3.556,3.415,2.726,3.356,3.115,5.735,19.685,154.92
"Glyma.04G020800",3.139,2.339,2.696,3.664,3.283,4.714,4.543,3.822,3.053,0.922
"Glyma.04G025400",10.814,7.895,5.013,6.689,2.353,4.556,2.242,1.375,0.962,0.089
"Glyma.04G026000",15.998,9.916,6.267,6.516,4.758,5.989,4.199,2.963,1.935,0.636
"Glyma.04G028100",0.02,0.111,0.6,6.307,73.105,12.245,59.705,136.785,392.256,1154.415
"Glyma.04G029100",0.084,0.063,0.072,0.116,0.049,0.085,0.044,0.029,0.176,2.708
"Glyma.04G030600",32.096,20.372,13.482,9.844,7.354,8.16,8.119,4.652,8.792,7.42
"Glyma.04G033900",24.455,17.66,8.325,8.86,3.34,4.861,3.932,1.489,0.367,0.041
"Glyma.04G034000",8.381,6.977,3.524,4.497,1.515,2.552,1.583,0.686,0.138,0.007
"Glyma.04G035600",0.131,0.136,0.085,0.045,0.009,0.022,0.008,0.005,0,0
"Glyma.04G040400",0,0,0,0,0,0,0,0.006,0.057,0.694
"Glyma.04G042300",0.6,1.992,1.401,2.671,10.682,3.464,7.627,19.087,28.264,114.836
"Glyma.04G049200",0,0,0,0,0,0,0,0.016,0.074,2.867
"Glyma.04G051200",24.634,17.597,8.771,6.42,1.789,5.795,1.829,1.159,0.616,0.02
"Glyma.04G052900",28.995,20.394,17.055,16.223,26.283,20.498,22.413,25.978,31.273,65.766
"Glyma.04G066300",0,0.019,0.03,0.051,0.39,0.25,0.24,0.399,0.044,0.048
"Glyma.04G066800",25.332,16.835,11.775,9.496,6.803,11.334,6.502,5.189,1.607,0.051
"Glyma.04G066900",82.965,68.262,43.871,37.83,17.651,35.978,19.852,17.732,9.599,5.051
"Glyma.04G067700",26.92,16.994,9.47,6.438,3.349,5.565,3.604,2.755,1.553,0.2
"Glyma.04G071400",23.784,12.933,7.556,6.085,2.068,4.651,2.002,0.885,0.652,0.116
"Glyma.04G076500",2.24,1.439,0.815,0.797,0.289,0.613,0.226,0.06,0.014,0.007
"Glyma.04G081400",5.038,5.097,3.97,4.036,1.012,1.62,1.05,0.735,0.374,0.08
"Glyma.04G081700",1.375,1.093,0.577,0.565,0.202,0.496,0.207,0.108,0.016,0.005
"Glyma.04G082000",31.02,19.338,15.762,10.031,6.933,8.351,5.938,4.146,4.09,1.64
"Glyma.04G084300",14.661,8.499,6.939,6.873,3.653,5.476,3.658,2.438,1.891,0.581
"Glyma.04G084400",7.645,7.576,5.055,5.552,6.247,5.321,5.064,4.991,5.91,6.073
"Glyma.04G085200",4.308,5.524,5.324,3.56,2.47,3.613,1.752,0.778,0.225,0.058
"Glyma.04G085500",1.689,1.356,1.146,0.721,0.33,0.843,0.442,0.352,0.557,13.693
"Glyma.04G088200",0.049,0.054,0.031,0.014,0.018,0.032,0.031,0.063,0.147,4.431
"Glyma.04G088500",326.237,145.751,43.777,16.465,2.744,6.233,3.108,0.85,0.214,0.015
"Glyma.04G088800",0.002,0.001,0.001,0.002,0.033,0.013,0.191,0.493,3.467,7.412
"Glyma.04G089900",69.826,48.353,26.665,30.599,26.698,22.088,25.572,12.614,10.443,3.174
"Glyma.04G091500",24.71,17.785,10.003,12.23,6.243,9.838,8.121,5.365,4.508,1.088
"Glyma.04G092400",49.025,42.643,22.137,20.813,6.712,25.78,6.74,5.178,1.69,0.483
"Glyma.04G092600",39.928,28.917,13.655,8.092,3.689,7.73,3.078,2.437,1.577,0.82
"Glyma.04G096000",0.33,0.197,0.116,0.065,0.063,0.116,0.048,0.041,0.05,0.056
"Glyma.04G101000",13.211,12.037,12.685,8.697,2.036,4.404,2.197,0.847,0.335,0.373
"Glyma.04G101300",7.06,6.584,5.243,4.163,3.908,4.311,3.705,3.529,4.346,4.102
"Glyma.04G107100",11.516,8.698,7.126,7.968,4.584,6.695,3.919,2.435,1.318,0.137
"Glyma.04G107500",0.465,0.761,0.564,0.618,0.4,0.73,0.447,0.467,0.291,0.012
"Glyma.04G107900",28.182,15.962,13.562,9.715,3.108,6.79,4.128,4.377,2.261,0.66
"Glyma.04G108000",2.334,1.28,0.803,0.442,0.199,0.628,0.193,0.079,0.044,0.041
"Glyma.04G115500",8.401,7.117,6.199,6.146,4.044,6.165,3.828,2.922,1.847,0.96
"Glyma.04G122700",271.532,170.489,116.357,108.085,65.948,76.786,74.038,51.509,44.039,59.946
"Glyma.04G122900",278.3,223.093,142.437,124.548,45.394,81.985,67.353,63.876,36.035,13.098
"Glyma.04G125500",32.95,26.737,25.934,19.547,11.558,14.404,11.648,8.171,6.124,2.215
"Glyma.04G133100",23.896,17.544,10.775,5.922,5.456,4.71,6.94,5.957,18.799,33.622
"Glyma.04G139400",1.728,2.048,1.744,2.064,5.234,2.654,4.913,7.053,21.072,97.925
"Glyma.04G147100",22.01,19.027,11.588,8.458,2.745,7.92,2.98,2.346,0.59,0.419
"Glyma.04G151500",8.413,8.62,9.103,9.778,12.825,12.59,13.467,11.031,12.361,10.621
"Glyma.04G151600",4.723,2.728,1.161,1.818,10.398,3.457,26.8,24.183,82.076,220.133
"Glyma.04G154000",10.653,6.302,4.139,3.594,2.645,3.205,2.559,1.785,2.155,0.696
"Glyma.04G157200",13.417,10.309,8.916,8.984,7.821,8.583,7.531,5.151,6.842,5.057
"Glyma.04G168300",3.924,3.545,3.213,1.743,1.454,1.33,1.09,0.696,0.154,0.151
"Glyma.04G170400",124.608,89.87,55.031,51.535,39.362,43.985,43.872,35.013,34.346,28.439
"Glyma.04G170500",40.068,22.971,11.184,10.342,4.256,5.93,3.172,1.17,0.517,0.213
"Glyma.04G172300",10.517,7.043,4.141,4.511,1.927,3.138,1.551,1.1,0.618,0.095
"Glyma.04G173100",12.764,10.277,6.469,6.459,2.949,5.324,2.338,0.613,0.13,0.019
"Glyma.04G174800",22.782,14.288,8.511,8.004,2.454,5.363,2.336,1.029,1.018,0.402
"Glyma.04G175300",3.374,2.056,1.053,0.91,0.864,0.968,0.813,0.737,1.241,1.416
"Glyma.04G175900",0.471,0.458,0.717,0.895,1.84,0.559,1.88,1.513,4.195,20.191
"Glyma.04G176500",9.206,6.183,4.467,4.398,4.105,4.311,3.651,3.109,3.881,2.12
"Glyma.04G181500",26.2,19.624,15.938,11.477,7.785,12.305,11.417,8.788,3.402,1.25
"Glyma.04G184500",17.805,12.338,13.03,10.81,4.418,5.133,3.415,0.632,0.242,0.271
"Glyma.04G190000",0.582,0.749,1.714,1.251,2.242,1.312,2.401,2.73,10.112,35.271
"Glyma.04G193400",470.262,411.403,217.709,139.162,97.562,108.783,94.641,98.511,102.266,28.717
"Glyma.04G193500",335.996,284.254,160.233,105.977,57.082,78.023,53.164,54.048,46.308,18.703
"Glyma.04G193900",0.872,0.839,0.372,0.294,0.519,0.407,0.605,0.476,1.592,8.272
"Glyma.04G194500",7.474,6.575,4.846,4.004,2.579,3.179,2.527,1.81,1.232,0.143
"Glyma.04G194800",0.19,0.182,0.046,0.041,0.023,0.011,0.035,0.268,0.969,30.73
"Glyma.04G195200",3.791,2.636,2.068,1.463,0.95,1.189,0.845,0.45,0.34,0.044
"Glyma.04G196500",3.843,2.45,1.95,1.723,1.142,1.512,1.025,0.693,0.4,0.044
"Glyma.04G197300",108.008,141.798,121.248,133.264,253.633,224.892,214.349,238.327,250.984,241.861
"Glyma.04G199300",12.275,10.637,9.445,7.585,2.675,4.187,2.927,1.311,0.601,0.318
"Glyma.04G199400",1.144,1.322,0.642,0.565,1.182,0.669,0.867,0.732,1.533,13.828
"Glyma.04G200900",85.512,81.468,47.928,42.364,37.173,27.247,27.968,17.325,17.865,2.625
"Glyma.04G202700",0.007,0.007,0,0,0,0.005,0,0,0,0.004
"Glyma.04G202900",138.886,132.278,97.925,72.978,48.246,73.662,44.516,32.163,31.159,11.666
"Glyma.04G203300",1.521,1.76,1.757,1.878,3.216,2.71,3.391,3.095,9.388,37.305
"Glyma.04G203600",16.243,9.562,5.679,3.138,1.247,2.032,1.065,0.536,1.165,0.982
"Glyma.04G205400",0.287,0.166,0.107,0.138,1.545,0.218,2.34,4.76,11.37,26.997
"Glyma.04G206100",21.745,11.409,4.61,4.502,4.22,4.142,2.789,0.79,0.206,0.111
"Glyma.04G208300",0.067,0.22,0.229,0.126,0.313,0.337,0.342,0.745,2.17,10.272
"Glyma.04G208400",0.219,0.221,0.156,0.096,0.067,0.033,0.013,0.012,0.057,8.637
"Glyma.04G210500",16.92,12.824,5.888,5.505,1.9,3.878,1.551,0.567,0.224,0.175
"Glyma.04G213200",9.959,6.219,2.728,2.653,2.29,2.647,2.047,1.184,1.061,0.153
"Glyma.04G215900",191.963,179.952,171.645,132.834,101.893,118.856,98.359,73.902,54.852,15.314
"Glyma.04G217400",0,0.008,0,0,0.024,0.005,0.028,0.103,0.459,10.293
"Glyma.04G219500",21.221,13.612,7.582,6.708,4.727,5.94,4.572,3.345,4.712,1.561
"Glyma.04G220400",11.741,4.754,2.67,1.554,0.67,0.964,0.925,0.643,1.82,2.424
"Glyma.04G230600",5.064,1.863,1.032,0.893,2.302,0.778,1.924,1.304,5.666,39.853
"Glyma.04G231400",0.004,0,0.019,0.007,0.04,0.036,0.133,0.327,2.863,21.38
"Glyma.04G231500",124.089,80.893,49.621,43.707,23.262,29.27,31.159,28.986,24.848,12.932
"Glyma.04G231600",50.755,40.117,20.987,14.173,8.379,11.39,7.479,7.107,7.067,3.449
"Glyma.04G236400",9.112,8.675,7.474,9.41,21.589,13.698,34.893,35.575,52.89,80.201
"Glyma.04G242100",5.269,3.412,2.066,2.14,1.448,1.242,1.242,0.718,1.328,0.683
"Glyma.04G242800",8.255,9.301,10.223,21.193,16.159,21.268,17.969,13.424,9.137,4.836
"Glyma.04G245100",23.978,18.032,16.294,12.046,6.114,9.582,4.978,2.091,0.927,1.226
"Glyma.04G247700",59.912,48.666,24.76,15.658,12.184,12.321,13.886,12.311,19.629,10.035
"Glyma.04G247900",737.664,910.334,499.754,400.915,147.415,324.271,147.983,103.786,97.193,24.519
"Glyma.04G248500",0.036,0.033,0.035,0.059,1.262,0.192,1.308,1.255,4.854,66.899
"Glyma.04G252100",0.02,0.086,0.019,0.069,0.436,0.031,0.162,0.137,0.627,2.871
"Glyma.05G003100",0,0,0.005,0.005,0.003,0.003,0.008,0.007,0,0.003
"Glyma.05G003600",10.949,7.802,5.285,4.479,2.855,3.832,2.465,1.776,1.551,0.557
"Glyma.05G003900",0.167,0.17,0.304,0.214,0.367,0.271,0.23,0.036,0.012,0.006
"Glyma.05G006000",37.035,63.717,116.672,205.905,417.122,294.782,589.945,490.308,553.52,684.42
"Glyma.05G012300",26.137,19.88,15.26,12.25,8.856,11.226,9.302,10.099,8.551,15.263
"Glyma.05G014000",7.589,5.632,3.748,3.047,2.47,2.946,2.272,1.739,1.719,0.303
"Glyma.05G014600",14.745,10.706,6.456,6.78,6.056,8.413,5.618,2.852,0.357,0
"Glyma.05G015400",2.098,1.975,1.119,0.919,0.419,1.02,0.303,0.131,0.036,0.007
"Glyma.05G025200",0.071,0.092,0.053,0.126,0.153,0.142,0.229,0.301,1.125,4.902
"Glyma.05G025900",2.126,1.414,1.27,0.439,0.13,0.242,0.104,0.044,0.01,0.011
"Glyma.05G026200",99.079,93.839,61.661,57.217,34.844,56.578,24.647,24.796,3.238,5.27
"Glyma.05G027300",17.423,11.214,7.683,5.898,3.374,6.512,3.702,3.009,1.629,1.613
"Glyma.05G028500",9.385,8.215,7.803,8.052,4.912,5.924,4.253,2.038,1.153,0.243
"Glyma.05G029800",3.031,1.853,0.844,1.236,0.387,0.683,0.44,0.299,0.225,0.107
"Glyma.05G030100",26.01,14.199,8.005,9.224,3.657,6.433,3.114,1.448,0.587,0.015
"Glyma.05G031300",35.182,27.589,20.082,17.307,13.123,15.406,10.456,7.226,7.597,3.642
"Glyma.05G037700",1.054,0.676,0.724,0.537,0.647,0.726,0.604,1.077,1.548,15.299
"Glyma.05G038100",11.548,11.153,8.111,8.757,8.905,5.97,10.72,8.918,14.107,17.991
"Glyma.05G039900",15.108,9.712,4.541,3.821,2.733,3.09,2.042,1.208,1.547,0.425
"Glyma.05G042800",0.164,0.413,0.906,0.299,0.045,0.145,0.222,0.738,3.893,45.192
"Glyma.05G045200",16.479,11.838,6.09,4.592,2.262,4.454,2.063,1.776,1.32,0.426
"Glyma.05G046100",5.318,3.064,1.527,1.174,0.522,1.437,0.572,0.351,0.181,0.075
"Glyma.05G048200",23.062,20.8,17.6,17.098,10.866,14.781,10.303,7.203,4.609,0.747
"Glyma.05G051300",12.64,15.322,8.892,10.356,2.602,7.848,3.137,2.706,1.784,0.589
"Glyma.05G054000",0,0,0,0,0.026,0.006,0.074,0.169,1.843,4.486
"Glyma.05G055500",34.986,27.17,18.66,12.629,7.884,13.271,9.089,10.633,17.01,56.08
"Glyma.05G055600",17.623,10.346,5.424,3.851,1.735,2.442,1.831,1.066,0.969,0.345
"Glyma.05G063600",0.053,0.036,0.062,0.011,0.002,0.012,0,0,0,1.466
"Glyma.05G063800",19.219,17.13,11.448,9.655,4.891,6.483,5.556,4.762,4.79,2.937
"Glyma.05G064500",5.19,3.395,1.883,1.872,6.847,2.197,9.143,11.124,44.528,129.027
"Glyma.05G067800",1.511,1.043,1.04,0.803,0.657,0.853,0.722,0.512,0.797,0.569
"Glyma.05G068500",2.486,5.997,1.428,4.111,4.16,5.828,5.433,16.05,29.553,108.733
"Glyma.05G068900",8.653,5.733,4.112,3.956,2.353,3.065,3.674,3.024,1.47,0.33
"Glyma.05G070000",122.871,113.232,82.564,73.401,56.485,79.685,52.666,37.444,14.34,2.572
"Glyma.05G075600",15.65,12.842,9.559,8.892,4.939,6.928,7.178,5.184,5.73,8.245
"Glyma.05G077800",11.308,6.108,4.799,3.762,3.07,3.948,3.079,4.011,3.432,5.398
"Glyma.05G094900",0,0,0,0,0.054,0,0.15,0.624,2.227,17.579
"Glyma.05G104800",0.161,0.185,0.169,0.128,0.064,0.098,0.066,0.048,0.106,1.576
"Glyma.05G105100",0.352,1.084,1.574,1.788,1.62,1.795,0.966,0.774,0.218,0.017
"Glyma.05G105800",18.289,11.18,5.632,5.866,3.389,4.083,4.146,2.616,1.895,0.55
"Glyma.05G110200",635.217,578.805,473.625,346.939,181.342,261.188,190.99,91.045,62.497,9.052
"Glyma.05G111400",6.625,3.625,3.064,1.904,1.989,1.81,2.119,1.369,0.826,0.139
"Glyma.05G111800",14.999,7.161,4.058,2.895,1.882,1.877,1.877,1.277,1.174,0.11
"Glyma.05G112600",9.79,7.423,7.379,6.995,6.617,7.343,5.578,5.197,6.313,10.818
"Glyma.05G114900",1668.576,1290.123,716.074,434.411,286.638,371.53,252.956,202.888,259.752,290.656
"Glyma.05G121500",0,0,0,0,0,0,0.004,1.098,9.818,340.511
"Glyma.05G127700",20.846,13.988,15.332,15.289,12.962,11.717,11.999,11.043,11.065,11.763
"Glyma.05G131400",1.024,0.447,0.487,0.538,0.426,0.712,0.636,0.556,0.792,0.626
"Glyma.05G132000",11.847,11.353,6.237,6.943,3.331,8.13,3.808,4.465,1.897,0.184
"Glyma.05G132900",3.899,2.561,1.573,1.219,0.359,0.9,0.352,0.17,0.056,0.01
"Glyma.05G138600",33.049,32.619,19.755,16.044,11.35,10.805,9.57,8.145,5.177,1.482
"Glyma.05G140400",16.338,12.778,9.958,7.81,8.179,8.15,6.579,6.135,3.289,2.71
"Glyma.05G142500",0,0.002,0.009,0.031,0.206,0.039,0.371,1.818,6.749,214.075
"Glyma.05G144000",14.848,9.313,5.701,5.803,5.67,7.458,3.886,2.953,2.082,0.712
"Glyma.05G144300",5.483,4.761,3.775,5.564,5.203,3.751,4.508,3.259,5.747,18.775
"Glyma.05G145700",44.54,37.992,32.815,31.335,17.665,20.748,10.172,3.644,0.934,0.483
"Glyma.05G146500",29.039,25.474,18.886,18.31,15.477,16.037,15.202,10.366,10.317,3.485
"Glyma.05G146800",183.802,125.119,85.956,65.715,38.586,41.27,42.483,30.846,29.043,48.307
"Glyma.05G148200",57.459,44.719,30.093,28.12,15.582,20.251,22.686,22.563,20.482,12.547
"Glyma.05G150400",0.663,0.348,0.068,0.043,0.117,0.134,0.453,0.391,0.543,1.142
"Glyma.05G150800",3.626,1.522,0.949,0.617,0.399,0.598,0.425,0.277,0.244,0.126
"Glyma.05G151100",18.079,16.16,10.721,8.752,4.327,7.415,3.47,2.382,1.987,0.47
"Glyma.05G152100",98.199,75.804,44.256,21.212,14.528,16.902,16.425,17.583,19.274,17.081
"Glyma.05G155100",31.751,16.639,13.176,8.582,7.183,7.643,6.709,6.574,6.545,6.16
"Glyma.05G157300",409.049,254.358,206.403,121.866,62.881,122.047,69.828,53.908,27.855,2.304
"Glyma.05G157600",24.579,18.658,12.088,9.238,5.962,5.044,5.638,2.516,6.758,2.078
"Glyma.05G157800",50.748,24.915,12.891,10.186,5.201,9.582,6.059,3.321,2.576,1.039
"Glyma.05G164500",5.179,2.422,1.736,2.149,1.272,1.935,1.594,0.949,0.996,0.291
"Glyma.05G166800",15.49,12.289,5.295,4.923,1.618,3.477,1.84,1.336,1.08,0.272
"Glyma.05G167100",148.431,118.059,57.085,63.729,40.949,62.397,31.726,28.102,16.25,7.429
"Glyma.05G168100",11.419,9.571,7.335,8.446,5.925,6.956,4.801,4.166,2.47,1.663
"Glyma.05G179000",12.94,7.449,2.87,2.939,2.234,3.417,1.675,1.151,0.864,0.416
"Glyma.05G181600",19.243,13.689,13.738,11.03,8.673,8.426,7.66,4.096,3.807,0.712
"Glyma.05G183100",30.168,21.445,12.208,11.82,4.261,7.705,4.824,2.494,3.079,1.605
"Glyma.05G184200",10.075,6.489,3.337,3.354,0.641,1.443,1.185,0.899,0.621,0.01
"Glyma.05G185700",1.472,1.566,1.785,2.369,1.488,3.56,1.915,1.188,0.839,0.539
"Glyma.05G186700",0,0.003,0.003,0,0.004,0.151,0.021,0.147,0.189,5.398
"Glyma.05G188500",2.863,2.125,2.216,3.193,2.399,2.817,2.818,1.713,2.075,2
"Glyma.05G191400",11.588,9.249,5.758,5.836,5.725,5.236,4.411,4.93,6.975,6.825
"Glyma.05G193200",16.037,8.066,4.463,3.092,1.199,3.97,1.404,1.145,0.303,0.079
"Glyma.05G194800",3.253,11.356,14.018,21.723,35.614,23.172,61.32,66.208,169.74,409.03
"Glyma.05G197900",42.891,29.236,18.329,14.427,10.041,10.922,8.603,4.366,3.976,0.735
"Glyma.05G199100",83.142,83.244,67.913,49.942,39.087,39.953,29.347,19.718,9.249,0.643
"Glyma.05G206300",1.701,1.12,0.583,0.616,0.181,0.515,0.162,0.051,0.021,0.008
"Glyma.05G207100",50.288,47.312,27.136,22.844,8.792,18.435,7.534,7.16,3.686,0.47
"Glyma.05G208800",12.66,11.381,11.504,13.463,11.762,12.254,12.774,11.784,18.22,30.856
"Glyma.05G209500",11.121,8.473,8.457,6.876,5.563,7.209,5.005,3.963,3.134,2.023
"Glyma.05G209900",9.536,8.499,6.093,5.574,4.659,6.118,4.235,2.587,1.353,0.159
"Glyma.05G210400",13.566,9.292,3.153,2.92,2.534,3.265,1.78,1.066,0.385,0.011
"Glyma.05G212900",0.108,0.089,0.555,3.449,23.41,5.967,27.856,25.121,88.876,326.952
"Glyma.05G218400",3.657,5.009,2.066,1.675,4.959,3.205,9.202,13.426,136.162,343.846
"Glyma.05G219300",41.772,22.999,11.691,11.072,9.355,11.001,7.514,8.369,7.422,5.23
"Glyma.05G219400",208.704,239.054,124.976,115.377,67.29,116.837,68.778,40.656,50.719,16.03
"Glyma.05G220300",8.655,6.098,4.589,3.706,2.748,4.343,1.968,1.205,1.166,0.411
"Glyma.05G220500",0,0,0,0,0,0,0.004,0,0,0
"Glyma.05G222700",16.768,10.811,6.157,4.792,2.277,4.015,1.803,0.411,0.068,0.01
"Glyma.05G224000",97.991,97.42,89.565,72.456,60.508,76.266,55.927,35.07,38.957,32.16
"Glyma.05G224500",2.946,2.768,2.151,2.128,0.583,0.759,0.723,0.559,0.396,1.204
"Glyma.05G225900",0.022,0.033,0.031,0.058,0.103,0.03,0.038,0.042,0.077,0.097
"Glyma.05G229300",31.46,21.042,14.359,17.965,3.598,11.599,6.302,2.622,0.595,0.092
"Glyma.05G229700",0,0.005,0,0,0.037,0.003,1.205,4.472,136.941,274.2
"Glyma.05G230700",16.509,16.687,11.979,10.865,5.353,7.592,5.83,2.784,0.791,0.042
"Glyma.05G232600",30.201,28.053,19.043,16.795,11.828,13.9,11.671,9.53,7.654,2.58
"Glyma.05G236800",0,0,0.006,0,0.005,0,0.007,0.011,0.05,0.785
"Glyma.05G236900",0,0,0,0,0,0,0,0.004,0.015,0.038
"Glyma.05G237000",39.972,32.04,19.77,17.23,8.5,15.736,8.608,4.877,2.146,0.127
"Glyma.05G239100",31.916,21.623,14.826,13.335,9.826,13.088,9.371,7.287,4.19,0.529
"Glyma.05G241900",19.835,8.317,3.736,2.47,0.648,1.259,0.572,0.533,0.689,0.226
"Glyma.05G247300",50.515,33.599,14.857,9.305,6.715,9.2,5.402,3.03,1.166,0.038
"Glyma.06G000200",17.46,16.325,16.762,14.674,11.347,22.417,10.693,8.818,6.029,1.351
"Glyma.06G001700",9.533,5.1,4.515,3.099,2.19,3.143,2.296,1.634,0.742,0.068
"Glyma.06G003200",80.805,55.114,22.291,12.714,13.37,8.688,10.58,5.97,5.408,0.896
"Glyma.06G007900",17.121,13.991,10.207,8.659,6.874,8.167,7.049,5.603,5.332,0.847
"Glyma.06G009000",7.898,5.016,3.649,4.165,3.444,5.571,3.954,2.513,1.096,0.11
"Glyma.06G013100",34.757,24.322,17.437,13.684,10.002,13.06,9.016,8.314,5.14,1.629
